# Pathway HUMAnN v4.0.0.alpha.1	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
PWY-6421: arsenate detoxification IV (mycothiol)	0	18.1872153143	0	19.7954244975	117.0425763913	43.1419601790	0	0	0	0	0	0	28.9444391879	7.1789447006	35.7807751306	16.8042698976	0	0	0	0	0	0	12.4929966340	0	22.8577832603	16.4165017213	28.2937500149	0	0	0	0	0	0	0	0	0	48.6945042455	0	0	26.1985103996
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	1774.5024671533	2496.6221545046	4105.1380699575	1967.3595612742	2471.9068772772	5569.1945726178	797.8470744213	1793.2449625965	1268.7581970143	827.3076093829	1377.8845961393	871.4921896851	2526.1485993342	1963.0255557433	2232.9399179392	262.9936413310	3127.4195116789	608.6808051871	1166.9907023002	791.3443105765	2959.8715719540	433.4949906465	908.2323147902	1695.9653317063	1152.1114350980	1473.9116508395	1964.0173150240	4994.8728096714	1431.2141443553	2335.5985705429	610.9883005874	736.2756674304	990.0048574999	1714.1045085054	4107.4644884186	1452.7794641097	3629.3316204158	3603.2829594513	2055.6298482975	1273.5014067229
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	13522.8437051616	18565.3853267833	26067.0155683851	24412.4943081475	12030.6824836869	16848.1561053633	8884.1997496356	13377.9647264292	10329.4903595286	10531.8169229728	11526.9656178022	7389.7418007658	19209.3611005637	7935.8936979405	10086.0883899267	8363.8285196000	17123.5339086945	10983.5214668241	11814.7453583283	7922.3810390503	14634.7863532604	7014.4544291599	4940.7447205461	8740.2166115197	8054.0014778021	7977.5686131500	6733.8567848731	17823.4432105103	15623.1364949295	10056.8391695637	14112.7423307318	9979.5866837367	5951.8630418375	12757.8007184068	13293.5557445175	11566.7955977312	31303.8669362525	16995.1928730976	13765.4348851935	12371.6729630379
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	289.0717112727	4548.6525629952	94.3863771536	14772.1809911575	422.9098409010	2412.4274486748	269.8232083269	9698.9576720498	417.8797821360	435.4837111796	6289.9458669499	7800.4059477554	16693.7289428698	441.2691861717	2259.2873594358	325.9388813625	2417.1999156256	565.1171405802	8593.0325832324	1061.4332595594	873.6591042961	402.4993918919	200.8440988184	372.6801050429	1117.7477786024	2545.3967457929	1479.3320676883	10093.4007254564	8387.3660146080	233.3512641859	15024.8615328039	392.8818360955	5800.6322941593	2659.5244154333	496.7031629623	147.6198468314	18883.9780578415	9028.1128644438	346.3836851903	7197.4724286109
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	1072.1535364108	3277.0392541655	1257.4912211146	2644.3612174017	1159.6353762288	5599.2552045104	470.4035277982	567.9741428974	1545.1013213591	909.6093454719	3320.9976100663	2268.4540501851	2341.6212041676	59.5143601944	1458.5112165168	266.2870781792	3712.4520136761	603.7087074093	1149.7969657853	2276.5194905327	338.3992464843	285.3993984800	1582.5844415101	888.2999810693	3884.6656052328	1716.4036674954	1974.6253336666	5969.5802782705	1434.1935282508	1677.0575605023	86.7114161712	807.4522807739	2459.7041348276	3106.0273178463	1101.3599370026	1692.9600807805	2742.2021129170	3902.6935611885	4418.9076060491	1473.2825083136
PWY-6491: D-galacturonate degradation III	0	18.7391738058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6501: D-glucuronate degradation II	0	0	0	0	0	0	0	0	0	0	0	0	9.5857531190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6505: L-tryptophan degradation XII (Geobacillus)	0	0	9.3866493589	0	0	17.0412824431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6518: bile acids epimerization	33.3967893691	39.0762550653	96.9759909439	12.2136176949	35.0211092253	0	61.1776660329	118.7757493639	109.8690267876	294.3415287301	0	0	39.4349622660	216.7564248506	164.6505529396	26.4597512519	30.5356605599	0	0	49.0477777561	131.6530164572	0	166.7388018577	0	106.3982091805	0	9.7176159205	161.2539686019	0	0	59.1164644426	0	0	0	74.7191243889	19.7176153411	260.5455053599	38.7520991459	57.9693401797	163.2483744228
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	13260.6836857804	23686.8415753375	9003.9525903420	20403.8840844603	10472.2963553496	24825.8396761536	4892.7272184924	8784.3347594923	12035.4280467283	5270.6308278397	14385.7273426968	10666.9219072763	19302.4966891022	5513.5589168144	8810.1494343762	18258.4140563744	17235.9271129984	5332.5699582189	5985.7245471624	14920.7193467566	2965.0954914039	6519.1663824117	11920.8367363120	9447.8716723693	14578.7370215394	15250.9793503717	11795.1922358291	22140.7227230205	7977.7207327201	10290.1102017576	2619.4782112848	7842.1009211509	9673.6044959784	10327.6622336101	5613.4666145287	9170.2462646522	12835.5105432873	23188.0238325869	25372.7584918218	14087.9460341292
PWY-6524: lychnose and isolychnose biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.3529393392
PWY-6527: stachyose degradation	46573.7257704587	53550.8529372336	60687.2293837277	54772.6757030317	29924.3409706837	61536.1569506441	29519.3358448778	31281.3868842868	31970.0201859805	34345.9849252550	29839.9586770152	25469.6679328081	31545.0013032686	27074.4544529301	32895.2513666728	42585.7873717505	52742.2789574417	28520.5709498574	28587.0465960664	26755.0852843751	34601.5721567554	31066.2592421358	31001.8840601964	31766.0122845816	30438.1856271846	32081.6049783476	33348.5600463827	56473.0896567346	33818.4588204883	33377.6808418440	34060.1305271829	32356.7269245542	27934.7100534467	30575.6856191116	36674.3691589737	29498.6167917372	62158.4188842800	58456.0728967138	50574.8943932019	71305.4752062244
PWY-6531: mannitol cycle	692.6288007631	946.9977089095	734.7310544010	2221.7740645433	2722.5366190267	2292.3722097034	271.4243589189	720.9784267187	251.2624458398	279.4308815365	1005.6186139971	404.3522667728	11951.7429125539	269.6552347119	370.1239364845	801.5360438605	811.1761950002	260.5139369712	127.6546492841	505.3685856094	284.5448835587	1864.5467934587	1204.9691754353	433.8640903174	719.6889416445	534.6260421440	666.8032941622	2560.6770320430	2061.1154367498	161.8796609992	110.9916367425	1111.7214255536	421.3025300995	123.6686891590	530.8151113398	299.8308110998	4110.3956954315	1716.1980247955	1399.7777775454	624.6312076346
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	10800.8461439152	10917.0195541836	5244.9882621387	17003.5199859128	6430.7538380973	14808.1905267537	2999.0933629481	6268.2687267922	8086.7324933329	3424.1138360843	6706.4641586234	5680.4970959272	14868.3035099595	3043.7823172789	5569.4801590964	15275.6947196548	11127.2716325973	4091.9963266452	5004.9533502285	6966.7389993437	3266.0859192335	5577.8346270658	8852.9957311878	5232.7065627261	9168.2444842280	7537.4245287118	6415.3430974136	14354.5592614371	7183.3314380439	5697.5401177785	2398.0975226686	5228.7083889674	4203.2723324503	6545.5138670821	4630.3149333991	5336.5117348205	9420.1904109348	13223.8877902617	14952.3513959121	9519.4321234376
PWY-6549: L-glutamine biosynthesis III	26047.6393209965	29273.8651895047	28743.2946225985	30008.1515183765	15546.4714392430	31488.5592358505	19502.7166688237	16323.2157444356	17583.1790443576	11418.1108851925	16203.5278970588	15407.6698878902	19451.7407988276	18800.8548226934	15564.0717322791	12990.9442370999	27497.5466824711	15344.3519996961	14739.2710504509	14072.3526657895	20804.5485334862	14674.0811837926	18405.3096430436	16610.8895391388	17985.5611795451	17343.7001259532	15700.9443366994	31018.8996572377	17650.9557101928	13761.2395180319	19684.3639876408	15240.8905136441	15362.9416194703	15672.1133043437	21516.9734211245	15415.0136704690	31310.6879666768	31603.9017877346	31509.7599122310	30761.5521368631
PWY-6562: norspermidine biosynthesis	630.2951333957	1403.9735714596	262.9963860245	572.2277627320	771.4162823799	1619.1514532845	0	108.9777262608	1016.5598360922	0	354.3020339323	248.0264270233	0	206.5059117607	194.7755600610	28.4813344756	555.5621304414	116.8426181477	51.0330930232	125.0984743236	73.3675797459	742.5017365487	299.3981665931	533.9207062988	236.0407441305	167.1056875223	498.5078170711	160.1314844008	190.9737099131	329.7663938317	1227.7143058285	806.5641669198	246.8934637930	636.7882998848	62.9701302658	139.5563137673	124.9803090320	620.4341165745	679.2059955261	892.4750085187
PWY-6565: superpathway of polyamine biosynthesis III	637.6745646609	1427.3739660809	264.8218258424	580.1530397170	790.4234168927	728.4592347061	0	109.9808853852	1036.0103264752	0	357.2313831053	251.1871612152	0	212.0226638941	196.3201389793	28.5359724489	558.3349990976	117.5486208347	51.1874341279	125.5380546965	73.7020953469	538.1988858742	302.5092308281	541.8724573600	237.6531476624	167.5254852992	503.1542764725	160.4301622844	191.7612956581	333.3377233958	1307.9435168031	819.7069636845	248.4882774527	645.7308273131	63.0762577606	140.0788919602	125.3561680358	624.6395539235	683.4309315556	903.7421765303
PWY-6572: chondroitin sulfate degradation I (bacterial)	293.2767458157	1694.3435619581	490.3824189068	609.5885212038	1362.6813701891	2850.1306743312	250.3826063733	430.7421516652	801.0349140051	256.3750927154	2345.1355427067	765.9883465076	2446.9849522331	0	423.5845923166	137.2966164290	3426.4045318183	232.5290017418	331.9314028261	1607.5601961305	0	91.3732180503	958.8154838148	802.7905832282	602.3259862222	1610.5091005814	2256.5142108117	3295.5597826437	217.7301555944	1498.6690758250	98.0403613131	590.4857766228	1525.7143704532	910.8411645570	246.8166542410	871.5930706515	1241.5453071921	3511.4585552312	3976.5982480511	452.2964550433
PWY-6583: pyruvate fermentation to butanol I	9037.0836495162	11659.2721042776	20337.3051142375	14705.9687683676	9647.7196333772	16818.0023452049	7816.6747089038	6379.6033178564	4718.5330383501	10298.6074939260	6369.0136067991	6130.7580668278	17207.8881107215	4691.8799462113	7614.0771833642	5790.7587224680	12285.8448974153	8069.2056712216	6496.3366314685	4192.4924243215	8082.3247750008	13323.4096386771	3815.3225148192	7313.3887636307	3697.3042849214	5733.4690827712	9332.8636965405	14660.1697723188	6919.5247510554	8700.9303701553	6523.4341089191	7341.7367927156	5527.8562435059	6865.4679021413	9767.8939286280	10463.8253801280	14302.9442375599	15669.4468572374	7835.9555305119	14605.0843639979
PWY-6588: pyruvate fermentation to acetone	2772.9982361590	4615.5605258332	1636.2224176098	2019.0646116800	1763.7640281847	3116.8961799591	375.3452829712	357.1267210403	525.2590891497	802.2790635441	667.1088984733	1036.7635908385	171.7209447851	597.9139423576	180.0857984389	229.3267000947	1219.5887896830	1490.4610777319	479.7896626142	5402.5724358241	555.3367369854	423.8226524849	184.6551179720	1191.8469761410	1420.7787716418	1458.1548088388	1329.9745295265	2293.6202758118	798.7786119759	1342.6278329908	573.7405160867	1066.3737677230	632.0691714995	356.8103659624	490.3049769168	891.3095057516	325.2591777649	4298.8629564387	5643.8490259873	164.1120872471
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	9619.4171726837	11741.9380199531	14501.0872520530	11043.4435972017	6260.0120262462	12340.6667463958	8639.6811680858	3431.3123770350	4864.5011645620	11236.9329731420	5631.4764586595	4091.8125933104	5536.8641572722	5644.7475365062	7152.2069032799	5685.8276866819	9927.1011847292	9082.3730831019	5757.0529227017	4475.4455717906	9295.9927679804	14291.6004157978	3854.2981915764	6465.6345150961	4065.6933480850	5385.3495417367	7392.3830289760	13120.1877416013	6452.8548020383	7095.3124920461	5084.5655511598	8165.1592407736	4627.5717289650	5564.7047723755	6381.7990922660	6820.9806703186	8397.0539205524	13629.1994997116	8865.0365632833	12572.6274443841
PWY-6594: superpathway of Clostridium acetobutylicum solventogenic fermentation	5002.0685273515	7354.9541564288	3674.6878952413	4212.0505497374	3218.1340489286	5983.8372750536	928.1707212585	846.0797521758	1157.3661882177	1846.2333642507	1488.2985672309	1756.8312809007	435.4575509526	1300.1370460220	462.4023653606	571.9778466488	2736.4500129805	3050.7648315643	1131.4409977713	3860.6513800784	1347.3289429142	1063.2736198243	460.6300480218	2453.4089269962	2344.5941119667	2695.4698225668	2674.9157755671	4558.8968741563	1823.0962045291	2616.4118863717	1321.7779510982	2281.8915723933	1394.2384834121	866.0431645702	1182.0912949159	1964.4304934014	829.5402953653	7530.3616484935	5849.5219996566	429.2964264239
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	4690.7170109570	2379.8905846093	5240.5458838353	4628.2772416522	3196.0879736564	3073.4887078326	3442.1880024527	4353.6097744202	4614.5727618696	2125.2535704590	1410.9744712929	3268.7254490119	5511.4870469826	5386.0198313805	5395.4330081038	7396.0230831768	3006.0139286467	2187.9345133410	2714.5690597423	881.2012549013	3845.2549384216	2948.6664803948	4483.7385265377	2505.8582710859	3929.0284793865	713.7648045976	1011.7525669729	5950.5445685735	3644.9937226194	1526.2702253263	3966.9880569669	1807.4960937964	1266.6433921813	3219.9755678523	4504.1859791835	1870.4596625772	10337.8433651632	2742.4286261978	3911.8283692172	9910.4562817807
PWY-6596: adenosine nucleotides degradation I	7818.4545786149	5037.6582433579	9551.8964683085	7615.4099575809	5239.4767167487	6014.6031090040	6260.3592317818	4110.4207324423	5620.8352046128	4509.0015107859	2804.7092907138	4035.8066260754	14140.3972657580	4939.2251128319	7487.9073513319	7541.7877677947	4736.9612688304	4451.7993229926	4513.1001784405	1641.6851178211	10790.2101734264	6939.8663519194	4843.1534583648	4406.2123833810	5392.7765152117	1650.8686798903	2326.5215975222	9424.7633187369	6368.0587196192	2654.3696301960	4542.2000550274	3413.9952521830	2263.7266794023	4520.2514814541	5323.6104870580	3611.7578445049	12769.5285863723	6000.6968356903	4405.8116423453	11426.2345607773
PWY-6604: superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation	5251.0851816596	7355.1722948144	4193.8410819400	4516.5789613146	3542.2810131453	6519.8165043229	1092.1981521304	986.2271571007	1378.1891369260	1803.8048650456	1594.1827595774	1978.3409467421	532.3324999117	1586.0929722082	509.5286822507	684.9057180264	3177.9628005204	2998.5921597812	1307.2728782083	4164.6945306658	1628.6009140145	1052.6845758020	544.0932559745	2758.9529109787	2626.4618650492	3023.2005451105	2954.4792563330	5270.0947878055	809.8512268165	2996.9482504968	1555.2247069087	2561.2499591597	1627.1406413547	1043.6173829400	1410.2735150180	1951.0640259336	998.0305489380	7892.7732957320	6621.1240622489	521.8027298864
PWY-6606: guanosine nucleotides degradation II	8111.3821283802	11339.4483494843	6598.8696934707	11526.1729184972	6795.3702686112	11396.7360376202	5265.2424018291	6371.3636194586	6344.8367446831	6733.4041860950	5670.6511794055	3793.4357702441	7766.4472121639	7651.0190540319	6423.1999625429	9232.1745632137	6501.9764512450	6367.5987843293	3712.9644615083	3126.9280735806	9934.0250953939	5156.9145862848	5579.4754006299	5179.0307343516	6244.8048913254	5130.5753610056	5765.1039833440	11832.9831904297	4690.6130347403	4633.0661807441	4493.1801793166	5457.1818301932	3424.1658952679	4999.5303667316	4880.0756614041	5430.2178048594	11795.2035007785	11175.9546192529	5401.9406315729	11050.7595500560
PWY-6607: guanosine nucleotides degradation I	4987.2326097510	2378.8459964262	6598.8696934707	4611.8865376287	3304.4597045735	3083.3853155448	3849.5397466970	3923.1384088163	4601.4441222047	2214.0164611063	1407.0068059324	3514.1010086456	6783.2565992616	4774.5137800230	6423.1999625429	7015.0535886901	3017.1461654923	2249.0382158069	3057.6687402497	870.2908809966	9934.0250953939	3352.4322714577	4467.6311207238	2649.7284241650	3971.0866320436	710.8272870396	1024.4289900328	6141.2482066499	4207.7885230797	1504.0882014431	4104.0609371105	1841.9161937469	1286.3993937034	3353.7457102125	4822.5115223508	1926.2251791818	11117.0940369049	2814.7221097108	3713.7623356276	11050.7595500560
PWY-6609: adenine and adenosine salvage III	44617.6438748808	45154.6156014645	43480.8906414542	47792.4173184027	23713.7597574901	45608.4502298978	20557.0638744301	17001.6960317018	24003.7374100944	29102.6846512324	23078.5387516009	24802.9538317375	28858.9809138366	20027.4610728437	24898.1790499608	35274.8102672224	36699.8876648712	21684.3307246640	22954.8834435278	21572.9875374931	29034.3211629586	28597.8053535288	22243.9608225909	25617.1249363481	27796.0705978350	22527.2031842056	24551.2738764749	43436.0751906121	25377.5300222829	27063.3962993046	27790.2899972556	25581.9358363610	22955.1382153493	22247.9071825348	27778.9041563472	27097.2402312322	43098.6744406519	45418.2440497440	40663.4522953910	53913.9749669685
PWY-6612: superpathway of tetrahydrofolate biosynthesis	6198.5138644367	7575.4860628170	5502.9060587930	9614.8142540550	6509.8539495208	12572.1953511715	2085.2412616836	5939.7545857863	5850.3648794526	4710.1517052519	6329.7384989392	4707.4648420351	15640.7157739977	5519.5104834858	8479.1653506463	2786.1852118221	8726.6885453581	2754.3581945240	3958.3752754303	5345.6214891567	3229.0634286728	5173.6940491847	3046.8911355464	3966.3008248327	4832.6549341720	2427.5760140816	5077.5345625234	14831.5086190761	6358.1447607778	7212.8976599848	3157.1433355552	4006.5700904707	4876.6768181897	5714.3007797172	4597.6212333859	5150.1632674888	13166.6467496882	10100.7210246731	6352.6812479241	10210.6331133794
PWY-6628: superpathway of L-phenylalanine biosynthesis	37772.8203075292	36315.3678227246	47724.5690064094	46015.7738230854	19982.5512103198	42365.7337692700	26380.7496632751	23479.7084337828	23273.2521277875	24131.3330203855	20940.5251337776	18174.1988475296	25946.3641813800	28196.5957190328	23350.9299413363	29337.5916346516	37443.6482522752	22281.1403379598	23159.9152347498	17419.1908119463	29895.9806917403	23211.7627123423	26717.7936171889	26142.7294546741	19780.6646241724	21126.2611787089	21466.6702661050	41493.6350172692	25086.8143460406	19894.1119566679	27822.5590664000	22163.6938659639	19743.6013418460	22029.5895119094	30141.4882615632	21476.9104854806	44713.6760442555	40919.8598266463	36783.1620832191	54098.0366386072
PWY-6629: superpathway of L-tryptophan biosynthesis	42946.9640228296	42617.6913750645	40126.7872580117	45742.1688339455	19474.5490589972	44313.3886306884	30622.9827870371	21848.2073399912	24884.2105575917	27043.6763036849	22730.0084368984	18974.9876244977	25772.2194965927	28576.5292686299	25610.8429196324	30372.3641141126	38062.8728546646	23340.6444501091	21906.1871976621	21242.8325911988	31013.7715288057	24663.7481433683	31407.9765975422	25229.9616488254	24698.5607424557	22795.3083580644	23155.1033665816	39455.7711148489	27337.5132951783	23951.3646326452	26480.2343613330	23969.0996877454	19878.8063443808	22340.2969072565	30125.2836518799	21752.6361010584	45054.4040561628	45908.6528057432	39853.1524868925	57511.2177117517
PWY-6630: superpathway of L-tyrosine biosynthesis	19115.2810581384	22087.4634851103	30207.0565550011	36565.0512647583	17235.8561110872	25069.7307102174	12595.3713296148	19719.6872289717	19328.0183235204	7884.3859975500	13485.3443153645	18174.1988475296	24971.1702294836	28196.5957190328	13236.6600257359	26100.0667667955	22245.4816018839	12182.2519278120	14658.9529780159	10414.6177042499	29724.9571385215	13516.5343716214	12563.8509315208	14376.3266152843	19780.6646241724	12244.1343328049	10248.5648209301	32461.8299854084	15101.1401565819	8700.9070998284	22536.6391887136	8701.2762570911	16004.8594478499	15026.9216050433	24925.1392986742	9012.3029077814	33122.9827083124	27548.6808725040	28528.5186703419	34015.3882510908
PWY-6641: superpathway of sulfolactate degradation	0	176.8005606243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	298.6430584620	74.2598992352	240.3764115515	1037.5295194775	1490.2656987477	2024.7223147875	10.0316335944	53.5706128096	38.9411279762	105.3571574162	388.7956523602	149.4749911112	7490.6664978600	12.2080804969	90.0754256823	319.5742815752	134.9578537394	98.4351347971	8.2686388902	56.4865410052	80.4375193749	2756.1966946399	250.4515107849	202.3907340095	682.7156689939	143.5749136283	421.0270225941	1148.8771022484	1885.8818119191	0	0	0	186.8455087203	42.0024215088	169.0246817191	12.6799582470	2205.5819531839	1540.2699483349	711.2945615558	98.1981997963
PWY-6692: Fe(II) oxidation	0	72.6373827308	18.8549690588	80.6838805050	30.5392529255	101.3102901003	0	0	0	0	0	16.7941071542	53.2769700674	0	12.8969383438	0	11.6553942306	0	0	0	0	0	11.6123030479	0	8.7351124743	0	0	0	20.3949053176	0	0	17.0934270101	0	0	0	0	0	9.4376434981	0	11.5167914189
PWY-6700: queuosine biosynthesis I (de novo)	42143.0583329519	42950.9791224508	38258.5235337902	39425.9954831049	18991.9793689926	43099.2592730257	21609.0308129930	15838.4819757661	21559.1587654887	20998.7077495147	19596.1688159762	19330.7140316302	18184.9397023233	14713.9429554604	19107.5972325399	25971.5829737732	35004.6592271201	19236.9098747531	19713.6861293651	21502.7161848013	17332.3056552950	18559.4683115577	19373.4697285424	22366.6253141799	21179.1507732742	18926.5416737057	21540.2708180081	36312.4594429642	20664.1261434589	22192.1879321864	20833.8258951897	21992.7746593339	20484.1782599270	19866.4485038196	22403.5687300705	21631.5245110424	32533.4477161370	39890.3132794743	41024.0420949211	37993.2483127799
PWY-6703: preQ0 biosynthesis	15521.3422769285	19971.7060411027	7673.5695404538	14623.8849762575	8082.4143742068	19152.7744771266	5996.9314831657	8079.8002310423	9808.0225130718	6948.4485268724	11378.6799551827	6698.6966670039	14545.3031356454	10462.1446081114	7864.8821090207	11689.9449790436	14409.6982740345	5746.6530994412	7109.4670363134	12743.1549471670	6345.0006976380	5246.5864718819	11018.7767044178	6426.8831327839	12096.9595640281	10760.1804911713	9639.5684723697	19731.5187024904	7979.2379692739	11450.4319164208	6619.8787999912	7994.2303160269	7462.2240474723	7673.2377532194	7109.9647018340	8021.7826493391	18019.9552674557	17745.7809675550	22620.5325067754	18700.3504849158
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	658.3482852459	95.2854304057	404.8031061332	1220.8726700112	1647.1682356999	1619.7614773205	14.8293323830	386.7568733198	83.9054409613	142.0220180812	333.4651968595	202.8113236377	7113.3547496814	43.4414987057	136.9849124957	235.0966826902	286.9267462335	177.4324799015	15.6228027231	70.2058629200	119.7541268150	1328.4444701936	228.9296353560	243.8504694027	560.0081483637	201.4542869184	323.2539495490	1588.3046347536	985.9083697718	0	21.2557587845	45.7556549239	235.0881869235	52.1702821856	254.5934718539	64.1158331581	2279.0901925002	1189.1496849562	576.8459181232	139.3429428933
PWY-6713: L-rhamnose degradation II	231.9701886137	288.9853959621	103.7856260617	103.0028892458	23.6191805778	87.2871819631	0	30.2840213883	119.3628134324	23.4677664075	10.5156445168	72.7805775966	42.6926537084	0	89.9248453527	10.1311485439	40.0987646527	0	11.0603835747	33.4200305271	58.2750628475	597.4686345269	30.2512702297	241.3387175883	26.3244738009	138.8129017059	121.7655625539	77.1205180908	47.5669009396	0	14.9105416147	30.8994790899	12.0671606757	21.2336291975	54.4149869813	11.1292003255	38.7091211373	131.7365016217	23.9337774823	33.9256833436
PWY-6714: L-rhamnose degradation III	0	0	0	0	0	26.9512153190	0	12.4624296278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8915175734	0	0	0
PWY-6731: starch degradation III	17313.4853634394	22836.0739781376	30609.7324812125	26112.7739875891	11963.9993963911	26566.0220591135	13707.1486720776	18510.2835299037	13064.5206109538	16156.1054240319	18013.0813691132	11382.5800970395	20085.5905234059	12587.9228734889	15641.1849946004	12653.4676763747	25863.3413816086	15381.1676054257	15374.4555448101	9987.9216894006	16748.0313800788	17653.5741844360	11588.1762266186	14890.0424339309	14041.1489385963	18583.7430883208	18035.3069426488	31481.6972750555	15693.8387498213	14155.6916586979	21109.6802993167	13788.0054629518	15370.2315020419	16917.9032853859	18925.0187894067	13683.2609935495	32343.4200016586	35323.5555843257	25620.1471366027	28786.4475125918
PWY-6748: nitrate reduction VII (denitrification)	0	0	0	28.9133774119	0	0	0	0	0	0	24.4719956908	0	0	32.4140385814	0	0	0	20.1409747065	0	0	0	0	0	0	19.3203701196	0	0	14.0095017249	0	0	0	26.2047359141	0	16.6918308516	0	0	0	0	0	0
PWY-6749: CMP-legionaminate biosynthesis I	801.9907222302	1127.6259954611	772.7732458998	624.1484212554	1803.8842514811	787.2572720183	151.6717550236	586.0604649098	334.1615192406	801.9038831571	434.9539991662	1315.9808149966	632.7415335758	160.0959266852	197.4859503426	85.7863233127	4216.4426529676	303.1319223058	60.3724612399	544.6153912568	38.1213165231	578.2621743184	240.7206692734	485.8159435987	6908.0108801141	1180.1725764975	171.5313906841	1414.8033250448	1788.4919968179	143.9330577453	238.6007668665	1960.6068826002	3441.0996875542	291.8128793006	322.7225169216	1081.9617190418	9.3779299300	1591.7857981309	3257.0369319191	1521.6586623957
PWY-6797: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)	0	122.3768533262	24.0537460603	37.1543769292	34.5888932328	69.9984817401	26.1505324759	0	100.9245513835	30.5433845137	24.0524925117	21.8798269430	0	32.6696398589	74.0757344126	43.1903173667	24.1024277721	63.1258444619	0	19.7072888365	51.8254616744	30.5705949593	0	0	75.2824188329	30.6146207004	0	24.0505339999	65.2336128088	0	0	45.8279341419	0	0	36.3082806735	0	91.6073942620	26.3038475652	26.2696569578	78.7548802720
PWY-6803: phosphatidylcholine acyl editing	3596.0419410874	4697.8237965544	2038.7868496160	4057.1376961195	3275.7664068382	5075.1739627030	6135.6888492647	1978.0781644111	1120.0716977066	1721.1587579603	2365.6225272012	1730.8926044651	21539.6458958640	1233.5534236677	996.8685284655	702.6866857176	2235.0680131548	1149.3547889153	697.1725122538	979.6330440496	1466.0427906502	3999.0106783564	2144.9186260132	1145.8442759799	1986.2944139493	1803.5472005013	1819.7377121533	3799.1000065387	2633.4922876672	1370.2461176623	805.0378252645	780.9293122754	2898.7790179042	1807.2980141906	1339.2593773185	1477.2745031500	5747.1555282900	3668.6672427540	2444.6560732936	1234.3307935905
PWY-6807: xyloglucan degradation II (exoglucanase)	0	475.0673217376	176.6007395118	79.6571778008	538.5395247985	1577.6428755085	290.6302348072	329.0227999669	216.3444950762	141.6421703820	238.8229070524	0	1515.8366578565	0	456.1400849511	130.7661920125	1080.0312818484	56.3790705586	180.9040197335	29.3956149159	0	74.5501541111	92.0002919165	47.8425675074	0	372.5298961467	1739.7561086320	777.0660095105	0	56.6218278420	0	155.0657138463	959.2556208962	237.7800400928	0	162.0405478349	0	46.5065164240	3294.4253190628	52.8405252824
PWY-6823: molybdopterin biosynthesis	21248.9780863530	21587.7547832388	35784.0570899294	26597.7346716151	12092.2215355678	16844.6991703497	15573.7150445356	13314.3775856223	12643.7537158568	20772.2051597673	7822.1827910186	8109.8121088677	12449.5912508319	15161.3456925599	15486.6358446135	22473.8521321265	17194.2554781735	16187.9012458638	13250.1121996337	8071.2244727540	22065.2004645488	21508.3833027882	8640.8455875053	12008.2386331283	10115.7378565428	8147.7026573236	11314.8530262454	19499.5336794202	20703.5278171614	14791.0129230892	13637.1324467348	13542.8555884241	7476.4401607041	13513.6366528028	19511.0452290462	16608.1039525232	32575.8135094442	19477.3389040343	12202.6997916218	31430.5745951444
